(         0.00000,          0.00000)  (         1.49535,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
(         1.49535,          0.00000)  (         0.00000,          0.00000)  (         2.11474,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
(         0.00000,          0.00000)  (         2.11474,          0.00000)  (         0.00000,          0.00000)  (         2.59002,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
(         0.00000,          0.00000)  (         0.00000,          0.00000)  (         2.59002,          0.00000)  (         0.00000,          0.00000)  (         2.99070,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
(         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         2.99070,          0.00000)  (         0.00000,          0.00000)  (         3.34370,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
(         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         3.34370,          0.00000)  (         0.00000,          0.00000)  (         3.66284,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
(         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         3.66284,          0.00000)  (         0.00000,          0.00000)  (         3.95632,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
(         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         3.95632,          0.00000)  (         0.00000,          0.00000)  (         4.22949,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
(         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         4.22949,          0.00000)  (         0.00000,          0.00000)  (         4.48605,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
(         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         4.48605,          0.00000)  (         0.00000,          0.00000)  (         4.72871,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  (         0.00000,          0.00000)  
