t                 field             
    7.32732733E+01    7.23088124E-01
    7.33733734E+01    8.07619207E-01
    7.34734735E+01    8.79862000E-01
    7.35735736E+01    9.36930662E-01
    7.36736737E+01    9.76545504E-01
    7.37737738E+01    9.97124054E-01
    7.38738739E+01    9.97844272E-01
    7.39739740E+01    9.78677388E-01
    7.40740741E+01    9.40389052E-01
    7.41741742E+01    8.84508744E-01
    7.42742743E+01    8.13268684E-01
    7.43743744E+01    7.29514659E-01
    7.44744745E+01    6.36592342E-01
    7.45745746E+01    5.38213648E-01
    7.46746747E+01    4.38308456E-01
    7.47747748E+01    3.40867621E-01
    7.48748749E+01    2.49783556E-01
    7.49749750E+01    1.68694745E-01
    7.50750751E+01    1.00840397E-01
    7.51751752E+01    4.89310497E-02
    7.52752753E+01    1.50402975E-02
    7.53753754E+01    5.21954468E-04
    7.54754755E+01    5.95597670E-03
    7.55755756E+01    3.11252943E-02
    7.56756757E+01    7.50244830E-02
    7.57757758E+01    1.35899927E-01
    7.58758759E+01    2.11319869E-01
    7.59759760E+01    2.98271552E-01
    7.60760761E+01    3.93281567E-01
    7.61761762E+01    4.92554602E-01
    7.62762763E+01    5.92125054E-01
    7.63763764E+01    6.88015439E-01
    7.64764765E+01    7.76395278E-01
    7.65765766E+01    8.53734113E-01
    7.66766767E+01    9.16942532E-01
    7.67767768E+01    9.63495585E-01
    7.68768769E+01    9.91533644E-01
    7.69769770E+01    9.99936688E-01
    7.70770771E+01    9.88369046E-01
    7.71771772E+01    9.57292803E-01
    7.72772773E+01    9.07949345E-01
    7.73773774E+01    8.42309767E-01
    7.74774775E+01    7.62996135E-01
    7.75775776E+01    6.73176746E-01
    7.76776777E+01    5.76439565E-01
    7.77777778E+01    4.76648895E-01
    7.78778779E+01    3.77791019E-01
    7.79779780E+01    2.83814956E-01
    7.80780781E+01    1.98474713E-01
    7.81781782E+01    1.25179330E-01
    7.82782783E+01    6.68566941E-02
    7.83783784E+01    2.58365877E-02
    7.84784785E+01    3.75761721E-03
    7.85785786E+01    1.50175880E-03
    7.86786787E+01    1.91591259E-02
    7.87787788E+01    5.60243698E-02
    7.88788789E+01    1.10624855E-01
    7.89789790E+01    1.80779488E-01
    7.90790791E+01    2.63685842E-01
    7.91791792E+01    3.56032102E-01
    7.92792793E+01    4.54129366E-01
    7.93793794E+01    5.54058998E-01
    7.94794795E+01    6.51829166E-01
    7.95795796E+01    7.43534301E-01
    7.96796797E+01    8.25511109E-01
    7.97797798E+01    8.94484911E-01
    7.98798799E+01    9.47700448E-01
    7.99799800E+01    9.83031951E-01
    8.00800801E+01    9.99068051E-01
    8.01801802E+01    9.95168163E-01
    8.02802803E+01    9.71488075E-01
    8.03803804E+01    9.28973721E-01
    8.04804805E+01    8.69323398E-01
    8.05805806E+01    7.94919923E-01
    8.06806807E+01    7.08735450E-01
    8.07807808E+01    6.14212741E-01
    8.08808809E+01    5.15127640E-01
    8.09809810E+01    4.15438244E-01
    8.10810811E+01    3.19126789E-01
    8.11811812E+01    2.30040572E-01
    8.12812813E+01    1.51738272E-01
    8.13813814E+01    8.73477841E-02
    8.14814815E+01    3.94412796E-02
    8.15815816E+01    9.93245228E-03
    8.16816817E+01    7.43589335E-08
    8.17817818E+01    1.00409089E-02
    8.18818819E+01    3.96538604E-02
    8.19819820E+01    8.76559972E-02
    8.20820821E+01    1.52129805E-01
    8.21821822E+01    2.30499786E-01
    8.22822823E+01    3.19635338E-01
    8.23823824E+01    4.15975815E-01
    8.24824825E+01    5.15672758E-01
    8.25825826E+01    6.14743630E-01
    8.26826827E+01    7.09230904E-01
    8.27827828E+01    7.95360150E-01
    8.28828829E+01    8.69690813E-01
    8.29829830E+01    9.29253646E-01
    8.30830831E+01    9.71669329E-01
    8.31831832E+01    9.95243505E-01
    8.32832833E+01    9.99034471E-01
    8.33833834E+01    9.82890791E-01
    8.34834835E+01    9.47457347E-01
    8.35835836E+01    8.94149580E-01
    8.36836837E+01    8.25096943E-01
    8.37837838E+01    7.43057844E-01
    8.38838839E+01    6.51309451E-01
    8.39839840E+01    5.53516786E-01
    8.40840841E+01    4.53586316E-01
    8.41841842E+01    3.55509908E-01
    8.42842843E+01    2.63205363E-01
    8.43843844E+01    1.80359918E-01
    8.44844845E+01    1.10282954E-01
    8.45845846E+01    5.57737947E-02
    8.46846847E+01    1.90098870E-02
    8.47847848E+01    1.45981764E-03
    8.48848849E+01    3.82464919E-03
    8.49849850E+01    2.60099151E-02
    8.50850851E+01    6.71293932E-02
    8.51851852E+01    1.25540507E-01
    8.52852853E+01    1.98909941E-01
    8.53853854E+01    2.84306848E-01
    8.54854855E+01    3.78319927E-01
    8.55855856E+01    4.77193691E-01
    8.56856857E+01    5.76978485E-01
    8.57857858E+01    6.73688263E-01
    8.58858859E+01    7.63459816E-01
    8.59859860E+01    8.42707089E-01
    8.60860861E+01    9.08264436E-01
    8.61861862E+01    9.57513077E-01
    8.62862863E+01    9.88485703E-01
    8.63863864E+01    9.99945069E-01
    8.64864865E+01    9.91433414E-01
    8.65865866E+01    9.63290748E-01
    8.66866867E+01    9.16641270E-01
    8.67867868E+01    8.53348460E-01
    8.68868869E+01    7.75940641E-01
    8.69869870E+01    6.87509977E-01
    8.70870871E+01    5.91588960E-01
    8.71871872E+01    4.92009290E-01
    8.72872873E+01    3.92748821E-01
    8.73873874E+01    2.97772653E-01
    8.74874875E+01    2.10874746E-01
    8.75875876E+01    1.35526362E-01
    8.76876877E+01    7.47373978E-02
    8.77877878E+01    3.09361571E-02
    8.78878879E+01    5.87234280E-03
    8.79879880E+01    5.47164788E-04
    8.80880881E+01    1.51733449E-02
    8.81881882E+01    4.91666196E-02
    8.82882883E+01    1.01169079E-01
    8.83883884E+01    1.69103410E-01
    8.84884885E+01    2.50255878E-01
    8.85885886E+01    3.41384733E-01
    8.86886887E+01    4.38849702E-01
    8.87887888E+01    5.38757407E-01
    8.88888889E+01    6.37116892E-01
    8.89889890E+01    7.29999046E-01
    8.90890891E+01    8.13693560E-01
    8.91891892E+01    8.84857135E-01
    8.92892893E+01    9.40647041E-01
    8.93893894E+01    9.78834671E-01
    8.94894895E+01    9.97894565E-01
    8.95895896E+01    9.97065348E-01
    8.96896897E+01    9.76380144E-01
    8.97897898E+01    9.36665254E-01
    8.98898899E+01    8.79507145E-01
    8.99899900E+01    8.07189081E-01
    9.00900901E+01    7.22599909E-01
    9.01901902E+01    6.29118665E-01
    9.02902903E+01    5.30479592E-01
    9.03903904E+01    4.30622967E-01
    9.04904905E+01    3.33537708E-01
    9.05905906E+01    2.43102022E-01
    9.06906907E+01    1.62928494E-01
    9.07907908E+01    9.62197702E-02
    9.08908909E+01    4.56406249E-02
    9.09909910E+01    1.32115151E-02
    9.10910911E+01    2.27867770E-04
    9.11911912E+01    7.20833340E-03
    9.12912913E+01    3.38740673E-02
    9.13913914E+01    7.91598685E-02
    9.14914915E+01    1.41256731E-01
    9.15915916E+01    2.17684107E-01
    9.16916917E+01    3.05388995E-01
    9.17917918E+01    4.00867898E-01
    9.18918919E+01    5.00306774E-01
    9.19919920E+01    5.99733397E-01
    9.20920921E+01    6.95176026E-01
    9.21921922E+01    7.82822069E-01
    9.22922923E+01    8.59170380E-01
    9.23923924E+01    9.21171116E-01
    9.24924925E+01    9.66347570E-01
    9.25925926E+01    9.92895102E-01
    9.26926927E+01    9.99753235E-01
    9.27927928E+01    9.86648009E-01
    9.28928929E+01    9.54102932E-01
    9.29929930E+01    9.03418064E-01
    9.30930931E+01    8.36618084E-01
    9.31931932E+01    7.56371413E-01
    9.32932933E+01    6.65883619E-01
    9.33933934E+01    5.68769367E-01
    9.34934935E+01    4.68908024E-01
    9.35935936E+01    3.70288694E-01
    9.36936937E+01    2.76850868E-01
    9.37937938E+01    1.92327053E-01
    9.38938939E+01    1.20093675E-01
    9.39939940E+01    6.30361981E-02
    9.40940941E+01    2.34338656E-02
    9.41941942E+01    2.86864929E-03
    9.42942943E+01    2.16205611E-03
    9.43943944E+01    2.13423119E-02
    9.44944945E+01    5.96432340E-02
    9.45945946E+01    1.15534837E-01
    9.46946947E+01    1.86784451E-01
    9.47947948E+01    2.70545909E-01
    9.48948949E+01    3.63473238E-01
    9.49949950E+01    4.61854325E-01
    9.50950951E+01    5.61759195E-01
    9.51951952E+01    6.59197005E-01
    9.52952953E+01    7.50275464E-01
    9.53953954E+01    8.31356310E-01
    9.54954955E+01    8.99200655E-01
    9.55955956E+01    9.51098359E-01
    9.56956957E+01    9.84976293E-01
    9.57957958E+01    9.99481155E-01
    9.58958959E+01    9.94033528E-01
    9.59959960E+01    9.68851024E-01
    9.60960961E+01    9.24939596E-01
    9.61961962E+01    8.64053347E-01
    9.62962963E+01    7.88624467E-01
    9.63963964E+01    7.01666069E-01
    9.64964965E+01    6.06651831E-01
    9.65965966E+01    5.07377234E-01
    9.66966967E+01    4.07807942E-01
    9.67967968E+01    3.11921394E-01
    9.68968969E+01    2.23547915E-01
    9.69969970E+01    1.46217710E-01
    9.70970971E+01    8.30198450E-02
    9.71971972E+01    3.64788489E-02
    9.72972973E+01    8.45386837E-03
    9.73973974E+01    6.44014271E-05
    9.74974975E+01    1.16455773E-02
    9.75975976E+01    4.27347694E-02
    9.76976977E+01    9.20900754E-02
    9.77977978E+01    1.57739927E-01
    9.78978979E+01    2.37061847E-01
    9.79979980E+01    3.26887208E-01
    9.80980981E+01    4.23627807E-01
    9.81981982E+01    5.23419202E-01
    9.82982983E+01    6.22275084E-01
    9.83983984E+01    7.16246513E-01
    9.84984985E+01    8.01579665E-01
    9.85985986E+01    8.74865786E-01
    9.86986987E+01    9.33177357E-01
    9.87987988E+01    9.74185039E-01
    9.88988989E+01    9.96250720E-01
    9.89989990E+01    9.98492957E-01
    9.90990991E+01    9.80822179E-01
    9.91991992E+01    9.43944271E-01
    9.92992993E+01    8.89332374E-01
    9.93993994E+01    8.19168039E-01
    9.94994995E+01    7.36254079E-01
    9.95995996E+01    6.43902612E-01
    9.96996997E+01    5.45802749E-01
    9.97997998E+01    4.45873230E-01
    9.98998999E+01    3.48105882E-01
    1.00000000E+02    2.56406162E-01
